Mode,BeamID,BeamType,beam_db,beam_theta,beam_phi,ch,ch_sw,ch_db,ch_deg
TX,1,0,,0,0,,,,
RX,1,0,,0,0,,,,
TX,2,0,,10,0,,,,
RX,2,0,,10,0,,,,
TX,3,0,,20,0,,,,
RX,3,0,,20,0,,,,
TX,4,0,,30,0,,,,
RX,4,0,,30,0,,,,
TX,5,0,,10,180,,,,
RX,5,0,,10,180,,,,
TX,6,0,,20,180,,,,
RX,6,0,,20,180,,,,
TX,7,0,,30,180,,,,
RX,7,0,,30,180,,,,
TX,8,0,,40,180,,,,
RX,8,0,,40,180,,,,
